,Electricity Price,Wind Power,Solar Power,HPP Power,Curtailed Power,Battery SOC,Battery Power
0,35.171,95.51623578833129,0.0,91.0372868483492,0.0,75.0,-4.478948939982089
1,35.171,94.92573071088854,0.0,90.44678177090645,0.0,79.41176470588235,-4.478948939982089
2,35.171,112.87215739072677,0.0,108.39320845074468,0.0,83.82352941176471,-4.478948939982086
3,35.171,143.68957465921233,0.0,139.21062571923025,0.0,88.23529411764706,-4.478948939982082
4,35.171,161.74838907157954,0.0,157.26944013159746,0.0,92.6470588235294,-4.478948939982082
5,35.171,157.7004992999022,0.0,153.22155035992012,0.0,97.05882352941177,-4.478948939982084
6,35.171,159.8837360912111,0.0,155.40478715122902,0.0,101.47058823529413,-4.478948939982086
7,35.64,168.70012596992592,0.0,164.22117702994385,0.0,105.88235294117649,-4.478948939982086
8,35.489,142.58700746338457,0.0,138.1080585234025,0.0,110.29411764705884,-4.478948939982084
9,35.398,134.87690995385603,0.0,130.39796101387395,0.0,114.70588235294119,-4.478948939982084
10,35.64,105.92816202950213,1.358799879686632,102.80801296920667,0.0,119.11764705882354,-4.478948939982083
11,35.725,111.07423472556945,3.7829760122622615,110.37826179784963,0.0,123.52941176470588,-4.478948939982082
12,35.65,115.91930394708052,5.585849049619116,117.02620405671755,0.0,127.94117647058823,-4.478948939982083
13,36.239,147.2443968540372,11.78048290405867,154.5459308181138,0.0,132.35294117647058,-4.478948939982082
14,37.098,155.6559673090372,16.088559032135606,167.26557740119074,0.0,136.76470588235293,-4.478948939982082
15,39.629,145.49240306547733,0.0,141.01345412549526,0.0,141.17647058823528,-4.478948939982083
16,42.419,108.28692952843058,0.0,103.80798058844849,0.0,145.58823529411765,-4.478948939982083
17,48.663,106.9219124047217,0.0,106.9219124047217,0.0,150.0,0.0
18,50.364,130.75742963273467,0.0,130.75742963273467,0.0,150.0,0.0
19,50.364,118.84098709944803,0.0,168.09098709944803,0.0,150.0,49.25
20,50.364,93.84136333811843,0.0,128.31636333811846,0.0,100.0,34.47500000000004
21,50.707,85.23663878923485,0.0,134.48663878923486,0.0,64.99999999999997,49.25
22,50.233,72.87832056627204,0.0,72.87832056627204,0.0,14.999999999999972,0.0
23,41.799,78.20960917346385,0.0,78.20960917346385,0.0,14.999999999999972,0.0
24,32.158,74.84274383590983,0.0,74.84274383590983,0.0,14.999999999999972,0.0
25,32.158,79.3937167361063,0.0,79.3937167361063,0.0,14.999999999999972,0.0
26,32.158,89.77907121359766,0.0,89.77907121359766,0.0,14.999999999999972,0.0
27,32.158,85.60999036416266,0.0,85.60999036416266,0.0,14.999999999999972,0.0
28,32.158,93.18405096708868,0.0,93.18405096708868,0.0,14.999999999999972,0.0
29,32.302,86.51953272142997,0.0,86.51953272142997,0.0,14.999999999999972,0.0
30,33.697,98.87104662669736,0.0,98.87104662669736,0.0,14.999999999999972,0.0
31,35.92,121.82494830172814,0.0,121.82494830172814,0.0,14.999999999999972,0.0
32,43.76,127.01681623554809,0.0,127.01681623554809,0.0,14.999999999999972,0.0
33,35.551,130.86588837761124,0.22048870736129927,131.08637708497255,0.0,14.999999999999972,0.0
34,35.382,132.58047120800285,20.318622121328346,152.8990933293312,0.0,14.999999999999972,0.0
35,34.745,134.52701350840672,36.799918030758896,171.32693153916563,0.0,14.999999999999972,0.0
36,33.888,147.68555255396853,64.8515982622111,212.53715081617963,0.0,14.999999999999972,0.0
37,33.888,142.00565383457294,69.40333569857381,211.40898953314675,0.0,14.999999999999972,0.0
38,34.174,155.64043854545963,57.97735884692173,213.61779739238136,0.0,14.999999999999972,0.0
39,34.522,218.60275876301523,0.05000469426755253,218.6527634572828,0.0,14.999999999999972,0.0
40,43.722,206.03908457648456,0.0,206.03908457648456,0.0,14.999999999999972,0.0
41,43.722,188.246845986697,0.0,188.246845986697,0.0,14.999999999999972,0.0
42,40.282,191.82443368114562,0.0,191.82443368114562,0.0,14.999999999999972,0.0
43,40.282,180.97539252957446,0.0,180.97539252957446,0.0,14.999999999999972,0.0
44,35.367,153.5222403075802,0.0,153.5222403075802,0.0,14.999999999999972,0.0
45,34.496,138.27599848660265,0.0,138.27599848660265,0.0,14.999999999999972,0.0
46,33.794,134.93293967459473,0.0,134.93293967459473,0.0,14.999999999999973,0.0
47,32.232,164.37798500260425,0.0,164.37798500260425,0.0,14.999999999999973,0.0
48,33.169,167.12781499903176,0.0,167.12781499903176,0.0,14.999999999999972,0.0
49,33.169,182.26603533568812,0.0,182.26603533568812,0.0,14.999999999999972,0.0
50,33.169,176.23452184459944,0.0,176.23452184459944,0.0,14.999999999999972,0.0
51,33.169,173.0190087034893,0.0,173.0190087034893,0.0,14.999999999999972,0.0
52,33.169,182.1695271136841,0.0,182.1695271136841,0.0,14.999999999999972,0.0
53,33.169,183.19696256673328,0.0,183.19696256673328,0.0,14.999999999999972,0.0
54,33.846,196.80258398049185,0.0,196.80258398049185,0.0,14.999999999999972,0.0
55,40.775,219.3874516723892,0.0,219.3874516723892,0.0,14.999999999999972,0.0
56,38.14,284.2266906922771,0.0,284.2266906922771,0.0,14.999999999999972,0.0
57,32.909,333.5515201947794,0.0,300.0,33.551520194779414,14.999999999999972,0.0
58,32.377,345.22385911093215,0.0,300.0,45.22385911093215,14.999999999999972,0.0
59,32.567,347.87739078505416,0.0,300.0,47.87739078505416,14.999999999999972,0.0
60,32.567,345.71200605330137,0.0,300.0,45.712006053301366,14.999999999999972,0.0
61,32.861,349.111034170625,0.0,300.0,49.111034170624976,14.999999999999972,0.0
