timestamp,source_hour,price_eur_per_mwh,mdf_kgco2e_per_mwh,wind_reference_mw,wind_controlled_mw,variable_opex_eur,yaw_rms_deg,load_ratio
2023-01-14 00:00:00,312,117.2,218.7180063,1442.1,1442.1,5.264377062029644,0.038955644,1.000021
2023-01-14 01:00:00,313,98.67,221.8689616,1441.450352410411,1441.7438057117095,-21.516893483366328,1.2472465,0.9997947
2023-01-14 02:00:00,314,57.45,238.8361329,1428.799821089551,1431.2846068993522,-474.40770024513324,2.5684574,0.9969244
2023-01-14 03:00:00,315,40.85,255.2936739,1413.0268222644172,1414.2120284009554,-16.957293497452255,1.7464563,0.99957293
2023-01-14 04:00:00,316,41.02,253.9197871,1384.5180460622682,1389.4570460673294,583.5690917815692,3.7420006,0.9981506
2023-01-14 05:00:00,317,45.1,245.9161661,1438.0425016379352,1439.6992673343802,198.20294432073004,2.749577,1.0000254
2023-01-14 06:00:00,318,54.9,256.3010096,1442.1,1442.1,-49.9632751443863,0.034457184,0.99979645
2023-01-14 07:00:00,319,77.15,233.7140659,1442.1,1442.1,-39.676229654353186,0.024457963,0.9998378
2023-01-14 08:00:00,320,100.1,281.8183877,1442.1,1442.1,-39.34976083130429,0.020154156,0.99983937
2023-01-14 09:00:00,321,96.73,260.8134188,1442.1,1442.1,6.124099300277711,0.014242641,1.0000249
2023-01-14 10:00:00,322,99.2,277.5422169,1442.1,1442.1,57.72248640959133,0.02195145,1.0002323
2023-01-14 11:00:00,323,104.97,273.0741697,1442.1,1442.1,88.00445098812766,0.027675955,1.0003521
2023-01-14 12:00:00,324,93.86,258.9121057,1442.1,1442.1,75.65183238271145,0.02720044,1.0003045
2023-01-14 13:00:00,325,93.85,261.0995479,1442.1,1442.1,61.539782400851266,0.026051551,1.0002462
2023-01-14 14:00:00,326,100.0,269.4924892,1442.1,1442.1,83.07838759559941,0.026828641,1.0003331
2023-01-14 15:00:00,327,100.0,275.7635386,1442.1,1442.1,52.2075634226841,0.023307886,1.0002099
2023-01-14 16:00:00,328,134.26,270.4473975,1442.1,1442.1,-0.7914858690370963,0.01891647,0.9999958
2023-01-14 17:00:00,329,144.2,262.6429336,1442.1,1442.1,-9.436576379075095,0.019060194,0.9999613
2023-01-14 18:00:00,330,127.0,264.9914337,1442.1,1442.1,11.092774892841378,0.0325617,1.0000452
2023-01-14 19:00:00,331,143.51,252.8406422,1442.0808664395959,1442.0851843704636,11.794219453089859,0.14106315,1.0000455
2023-01-14 20:00:00,332,99.37,234.7498794,1442.1,1442.1,-11.92378392174472,0.016309598,0.9999511
2023-01-14 21:00:00,333,93.42,233.7954753,1442.1,1442.1,-14.895792887947124,0.014478645,0.9999392
2023-01-14 22:00:00,334,69.1,231.1592933,1442.1,1442.1,-17.450945068393327,0.016554866,0.9999288
2023-01-14 23:00:00,335,60.01,213.4198536,1442.1,1442.1,-22.72880602512738,0.018506538,0.9999069
2023-01-15 00:00:00,336,29.4,208.4806192,1442.1,1442.1,-9.351978019519585,0.01680225,0.99996156
2023-01-15 01:00:00,337,27.93,192.7807885,1442.1,1442.1,-3.816141767081677,0.020058636,0.9999831
2023-01-15 02:00:00,338,6.94,190.3510728,1442.1,1442.1,-0.808865243420301,0.020379258,0.9999952
2023-01-15 03:00:00,339,2.93,180.8615698,1442.1,1442.1,-3.561199104169839,0.01979483,0.99998456
2023-01-15 04:00:00,340,4.05,183.2845099,1442.1,1442.1,-1.5235078817319863,0.018646052,0.9999927
2023-01-15 05:00:00,341,1.58,195.4915311,1442.1,1442.1,3.0135380317001035,0.017958967,1.0000114
2023-01-15 06:00:00,342,1.81,213.9335292,1442.1,1442.1,14.725753673539504,0.018902114,1.000059
2023-01-15 07:00:00,343,11.2,258.8019584,1442.1,1442.1,45.93482549502353,0.021608917,1.0001854
2023-01-15 08:00:00,344,37.4,266.9711629,1442.1,1442.1,54.21413008811435,0.022367276,1.0002183
2023-01-15 09:00:00,345,38.86,262.7904,1442.1,1442.1,42.14060548009055,0.021512823,1.0001694
2023-01-15 10:00:00,346,74.9,233.0198225,1442.1,1442.1,52.08738155240246,0.020633183,1.0002095
2023-01-15 11:00:00,347,80.0,226.8913141,1442.1,1442.1,38.655019160628505,0.016468802,1.0001552
2023-01-15 12:00:00,348,65.01,225.5075702,1442.1,1442.1,36.01176812403987,0.015125243,1.0001456
2023-01-15 13:00:00,349,80.15,238.7231334,1442.1,1442.1,15.005640576767808,0.012894899,1.0000606
2023-01-15 14:00:00,350,86.02,254.2165229,1442.1,1442.1,-10.695180581751933,0.013369602,0.9999563
2023-01-15 15:00:00,351,95.0,274.6841624,1442.1,1442.1,-18.310930941167626,0.017297948,0.9999243
2023-01-15 16:00:00,352,139.64,281.4989542,1442.1,1442.1,6.2013313464585496,0.022109104,1.0000247
2023-01-15 17:00:00,353,174.6,238.4654983,1440.3637783769784,1441.2780060188604,-281.21154537910405,2.2990177,0.9980799
2023-01-15 18:00:00,354,197.7,236.7543394,1330.1914825444567,1336.5722071188557,-676.4081740322853,3.2956889,0.9911215
2023-01-15 19:00:00,355,199.9,254.4691699,1191.690326765846,1197.2364454800584,762.5400872548917,3.1988738,0.99244434
2023-01-15 20:00:00,356,168.34,253.4451511,1145.3203642218893,1150.4794975965249,710.6791865789249,2.943152,0.99665517
2023-01-15 21:00:00,357,160.0,247.9708975,950.4451972065333,956.4567677675553,1596.6390331549194,3.125233,0.99860466
2023-01-15 22:00:00,358,133.0,236.1426448,441.52295171327916,445.3722051863321,4165.638096090644,3.48331,1.0004703
2023-01-15 23:00:00,359,60.01,220.4888984,376.5490592328033,379.9071800219817,3723.485758231701,3.5236783,0.99890625
2023-01-16 00:00:00,360,60.01,216.9446153,308.8857435830814,313.9874688417592,855.0952630946132,4.590961,0.95592564
2023-01-16 01:00:00,361,62.72,201.0084076,274.2713582670452,280.1767956742913,-858.0451266072772,6.505636,0.928616
2023-01-16 02:00:00,362,56.1,158.9681559,603.3024668303932,612.8943112559019,3153.0673214676967,4.7837214,0.9952672
2023-01-16 03:00:00,363,63.3,162.3163856,1188.5683046444287,1197.4931180997748,592.8620004358106,3.6249757,0.9936616
2023-01-16 04:00:00,364,87.0,213.5370666,1154.3028574160146,1161.265778431971,983.5466482722736,3.354149,0.9932134
2023-01-16 05:00:00,365,154.63,245.7901863,548.8060792410531,554.6020410705216,1740.1041560238646,4.1757483,0.9870024
2023-01-16 06:00:00,366,175.11,359.2503197,817.6320335457659,833.8116755367104,1360.512380369196,5.6194763,0.97858727
2023-01-16 07:00:00,367,185.99,319.3044125,1115.1810256795018,1129.1547911857074,1253.988898119153,4.7970567,0.9911779
2023-01-16 08:00:00,368,170.0,296.3058566,1255.7140926249383,1259.862121691187,1180.6763417134173,2.4220169,1.0011834
2023-01-16 09:00:00,369,200.1,280.1878894,1228.0712723968006,1231.3231682907522,-860.539193325014,2.0828378,0.99131405
2023-01-16 10:00:00,370,165.6,268.5692161,989.7815539974364,999.5200964325787,-1129.4917762262742,3.6667776,0.96774966
2023-01-16 11:00:00,371,148.59,309.9430771,796.1860025153832,808.4643585798264,917.7371897894723,4.271221,0.95646465
2023-01-16 12:00:00,372,145.47,371.5376775,336.06302972456143,339.7393258944708,2439.76264947532,3.6210723,0.9854055
2023-01-16 13:00:00,373,146.1,388.2077666,69.37437815716609,69.37590900324601,3.101312006161947,0.041160095,1.000015
2023-01-16 14:00:00,374,149.9,423.694651,0.0,0.0,-532.6271553926499,0.08094115,0.9977185
2023-01-16 15:00:00,375,151.45,383.1210907,130.7376080250219,131.85550908577224,-393.3282998488749,3.1842625,0.9833727
2023-01-16 16:00:00,376,166.79,368.8109037,910.8608844470417,918.461517007699,576.7993150705012,3.7989242,0.9803372
2023-01-16 17:00:00,377,173.72,285.4270006,1191.4819654218607,1196.7499602007736,267.15742449512226,3.073956,0.99130815
2023-01-16 18:00:00,378,150.5,429.6548733,1139.2016614017807,1150.3486128688398,-797.0108476649136,4.3026185,0.965532
2023-01-16 19:00:00,379,145.9,665.8750285,1391.0196614527094,1401.1183111260375,-1220.1046504115106,4.277515,0.98895234
2023-01-16 20:00:00,380,131.97,745.1286392,1442.1,1442.1,2.6591761137163834,0.018528005,1.0000104
2023-01-16 21:00:00,381,127.31,427.4054781,1442.1,1442.1,-6.16789477286564,0.0140626505,0.99997395
2023-01-16 22:00:00,382,120.0,87.2082606,1442.1,1442.1,-5.87917330744404,0.015612114,0.9999753
2023-01-16 23:00:00,383,101.19,130.194165,1442.1,1442.1,21.701125416651728,0.07378398,1.0000831
2023-01-17 00:00:00,384,95.45,143.546605,1442.097781139815,1442.1,-252.5814004090163,1.1820048,0.9987838
2023-01-17 01:00:00,385,97.98,137.4516583,1439.6240296498934,1440.1094512710683,-48.27152811060096,1.4928689,0.99965775
2023-01-17 02:00:00,386,100.0,215.3232989,1420.800092834372,1422.4370456887943,278.59457209796795,1.7949979,1.0007869
2023-01-17 03:00:00,387,101.09,266.8669636,1364.8138921796028,1366.7127422368108,460.5435724546514,1.8322207,1.000392
2023-01-17 04:00:00,388,113.55,690.6562282,1231.4743468356821,1233.2695932293013,21.366783673539675,1.6074897,0.9980368
2023-01-17 05:00:00,389,131.05,570.3006305,1012.3069735062317,1016.4455792454967,149.30492929248547,2.4457736,0.9903318
2023-01-17 06:00:00,390,140.8,377.293294,828.7581293891396,836.0856996162072,720.4142703706076,3.1446939,0.9930117
2023-01-17 07:00:00,391,200.0,464.6938263,680.273615895793,685.6208516897444,1020.2036338392553,3.1788588,0.98417217
2023-01-17 08:00:00,392,232.8,458.0319135,508.042400322685,513.416679137899,3247.6587244003726,3.7004712,0.99128854
2023-01-17 09:00:00,393,128.92,394.0708842,401.48328961396766,405.51156011740443,3940.794332258481,3.7900448,0.99221194
2023-01-17 10:00:00,394,120.0,377.7929335,473.01545313266104,480.5751611686232,4143.871371623371,4.7183957,0.9954018
2023-01-17 11:00:00,395,115.95,207.280921,530.7572774541701,542.4014802201789,5585.977778745968,5.223541,0.99497163
2023-01-17 12:00:00,396,112.9,304.8976017,515.2521206179332,525.3761634107975,3537.509511750042,5.0472393,0.98070073
2023-01-17 13:00:00,397,115.93,246.5735981,526.791613488849,534.9527516929938,1361.322427858471,5.138075,0.9750823
2023-01-17 14:00:00,398,147.72,226.460437,514.4603503124104,522.8473151051251,1671.8120524147937,5.094928,0.9733941
2023-01-17 15:00:00,399,171.0,322.785425,508.43000969621863,519.1349559959345,2996.7162838189297,5.202891,0.9867605
2023-01-17 16:00:00,400,184.73,632.8261864,491.00088023409376,498.21827131698353,-840.6609938622428,4.760586,0.9659229
2023-01-17 17:00:00,401,162.19,711.7912213,462.1661093286041,466.1561809568871,2054.1271481807403,3.5724921,0.98807347
2023-01-17 18:00:00,402,150.1,341.2053671,430.26665095847443,434.3899974022464,3818.7380427553653,3.5341551,0.9899863
2023-01-17 19:00:00,403,144.43,437.2890439,358.2488825666254,361.23130375074777,2804.7719741987776,3.4834766,0.99292487
2023-01-17 20:00:00,404,141.41,392.5074733,286.38914666022214,293.08131250117674,4937.520835615084,5.4317417,0.99003553
2023-01-17 21:00:00,405,132.8,375.4809337,281.42679124207393,287.2653736065457,3033.4431582082398,5.1037407,0.9728257
2023-01-17 22:00:00,406,131.4,480.519073,541.8230325335716,550.4650825675516,1169.513094156802,5.1007075,0.97229373
2023-01-17 23:00:00,407,119.8,354.3185803,718.1473843291053,728.8715278732676,3640.8152098527485,4.66872,0.9880838
2023-01-18 00:00:00,408,120.1,210.6118576,803.1712041744216,815.1090598808108,2807.3707618892304,4.64865,0.98589724
2023-01-18 01:00:00,409,123.9,151.6374742,797.2932619864342,808.9757663251738,1506.5795188614609,4.834545,0.98097354
2023-01-18 02:00:00,410,122.87,164.1517325,826.6068910028922,838.5819607759763,1558.1984797264654,4.710743,0.9830907
2023-01-18 03:00:00,411,120.48,159.3601915,940.8438905213862,952.3949907546815,1041.898064251051,4.567765,0.98161876
2023-01-18 04:00:00,412,121.91,178.3681707,1061.770368794677,1066.509047477269,-151.06482308722485,2.9804666,0.98999214
2023-01-18 05:00:00,413,130.39,173.6151078,1126.9400946659757,1137.0363812266332,683.355600034042,4.051124,0.98791325
2023-01-18 06:00:00,414,166.4,182.3578732,1217.909622821444,1224.4294433002938,-387.9033097024805,3.2422917,0.99174744
2023-01-18 07:00:00,415,181.5,194.1122431,1335.426333956946,1339.68275849295,-608.2184626123393,2.754772,0.99449885
2023-01-18 08:00:00,416,176.56,185.0403867,1406.0966830087461,1410.044756140113,-329.2797907483493,2.950351,0.9964827
