,WS_1,WS_50,WS_100,WS_150,WS_200,WD_1,WD_50,WD_100,WD_150,WD_200,temp_air_1,ghi,dni,dhi,Price
2023-01-01 00:00:00,11.057380305575093,19.157021177792537,21.16853574035335,22.039547008116507,23.81423363274145,223.34660301615585,224.01758479897157,224.70531089496976,225.5088443181468,226.0841383361065,284.9143284108673,0.0,0.0,0.0,-1.46
2023-01-01 01:00:00,10.186954985116332,17.693044565555777,19.558453902113484,20.41372542464688,22.06089551908723,224.0287058453298,224.64676732432912,225.2785714973967,226.06028164170127,226.61625718743255,284.6721508711684,0.0,0.0,0.0,-1.52
2023-01-01 02:00:00,9.894386978281862,17.0779153540494,18.8586298195635,19.75182375581319,21.27512089147916,224.93324029168457,225.49087710288063,226.05857025039705,226.7736999590848,227.29509039496543,284.42349419637185,0.0,0.0,0.0,-5.0
2023-01-01 03:00:00,11.031441367494608,18.453118722561268,20.26415766195519,21.24094996489877,22.71657997264931,228.56192669036903,229.13435560272285,229.7219564775691,230.48052127472076,231.05110861954105,283.9433189340297,0.0,0.0,0.0,-4.6
2023-01-01 04:00:00,10.109991536057295,17.033189120228002,18.728869595585245,19.578440427896457,20.929609716366038,228.4901882294075,229.2622316628583,230.05046134807424,230.9546234348252,231.71074071831103,283.83535016083874,0.0,0.0,0.0,-4.05
2023-01-01 05:00:00,9.700919026228435,16.26622452874222,17.869346856363745,18.713688956104463,19.9030872145979,229.011340856236,229.9576185221896,230.9196844720011,232.0230083584956,232.9801485378652,283.70776869072535,0.0,0.0,0.0,-3.6
2023-01-01 06:00:00,9.742517991808077,16.035514939014384,17.560177261926437,18.4136762755168,19.484699621321425,228.1223230993866,229.0426091156214,229.9818961966,231.09400230548823,232.0422533330456,283.5403610360629,0.0,0.0,0.0,0.0
2023-01-01 07:00:00,9.359822914106507,15.423193209963452,16.892438485385018,17.792547651627658,18.79923974058285,227.293107625304,228.16744641367748,229.06088690370203,230.09157252489624,231.00925976701348,283.4580958739658,0.0,0.0,0.0,0.0
2023-01-01 08:00:00,9.374665258696954,15.447604774205857,16.916711861390446,17.887767836597657,18.855140406755574,226.3459333268773,227.245727096512,228.16954457824343,229.14050155226408,230.0384629830457,283.4300845297768,0.0,0.0,0.0,0.0
2023-01-01 09:00:00,9.274019716057897,15.313746375554176,16.778853708143448,17.78985482334957,18.734857892379157,224.41453646152544,225.4936315820874,226.59189801965596,227.7972488927963,228.92510117669912,283.4109149233558,18.8903676458204,0.0,18.8903676458204,0.99
